전철역명,X좌표,Y좌표
가락시장,525992,1108579
종로3가,498060,1130332
오금,528137,1111147
동대문,502155,1130180
동대문역사문화공원,501555,1128600
충무로,498550,1127582
서울,493365,1125595
신도림,475755,1112937
이촌,494107,1116637
왕십리,508015,1127512
시청,494587,1128532
교대,502900,1108655
신설동,505342,1131412
강변,520755,1120262
까치산,466017,1119387
을지로3가,497895,1128945
홍대입구,483315,1126247
광운대,513467,1144785
상봉,518665,1137145
망우,520227,1138095
영등포구청,476875,1117441
신길,481420,1115205
을지로4가,499460,1129122
합정,480875,1124362
공덕,489187,1122797
삼각지,493970,1120167
약수,502197,1125470
신당,503765,1128712
동묘앞,503422,1130557
석계,514452,1142315
도봉산,510065,1163090
불광,484337,1140982
연신내,482372,1143485
금정,487357,1075022
수원,499747,1045517
원인재,430747,1086298
회기,512662,1135362
대곡,458007,1147052
디지털미디어시티,477750,1131825
회룡,510190,1172670
판교,524500,1081300
오이도,441955,1072345
이매,528285,1081810
선정릉,509542,1113380
종합운동장,516222,1113652
천호,527042,1121095
창동,510370,1153032
사당,495760,1104005
노원,513622,1153612
군자,517395,1126285
건대입구,515365,1121815
고속터미널,500913,1111778
총신대입구(이수),495900,1106635
대림,476705,1108675
가산디지털단지,473861,1105307
온수,460825,1108360
부평구청,438020,1112972
잠실,522390,1114282
복정,527842,1102047
모란,528402,1091947
부평,438837,1107772
당산,478290,1120184
여의도,483100,1116530
동작,495157,1111287
김포공항,455957,1127820
강남,506032,1109640
양재,507387,1106032
정자,523707,1073515
강남구청,508965,1115207
선릉,510742,1111880
효창공원앞,491425,1121402
태릉입구,516430,1143262
검암,427682,1129830
주안,429187,1100850
인천,415080,1103977
인천시청,433955,1098822
청량리,510002,1132640
중랑,516572,1136827
충정로,491842,1127227
청구,502872,1127150
성신여대입구,503476,1136257
보문,504065,1134217
계양,441522,1130440
기흥,525500,1048200
옥수,503850,1121910
도곡,512105,1107980
수서,522445,1106977
용산,491977,1118732
종각,496085,1129940
종로5가,500162,1130132
제기동,507552,1132159
을지로입구,495832,1128752
탑석,519500,1175280
한티,511526,1109471
구룡,512907,1106947
홍제,487507,1135130
김유정,657027,1199465
남춘천,659057,1212015
성균관대,493610,1054955
경찰병원,527245,1109277
구일,471027,1109500
야탑,528336,1086000
삼송,476770,1153035
화정,462986,1147997
영등포시장,478864,1116799
상일동,536415,1126182
공릉,515927,1145312
상도,488362,1111262
박촌,443555,1125427
구성,523000,1054700
인하대,424155,1090745
센트럴파크,419000,1081040
국제업무지구,418000,1082740
강매,465720,1141779
달월,443455,1077245
원흥,472070,1152435
상왕십리,506303,1128363
한양대,509450,1125912
뚝섬,510281,1123615
성수,512172,1122866
청계산입구,511857,1096100
구의,518867,1120790
잠실나루,522630,1116225
